Catégorie,Action,clean_categorie,predicted_categorie
Securité > Profil,Traité,Securité,Securité
Securité > Profil,Configuration du profil ONDOUA01 sur le poste de travail.,Securité,Securité
Securité > Profil,"Mise à jour du mot de passe de recupérationrn
 rn
Traité",Securité,Securité
Securité > Profil,Configuration de l'utilisateur Ok.,Securité,Securité
Securité > Profil,Configuration Outlook ok.,Securité,Postes
Securité > Profil,"GUMTE01 créé avec le rôle intervenantrn
KOH01 créé avec le rôle chef secteur",Securité,M3
Securité > Profil,"rn
Aucun action menees rn
 rn
Merci de remplir correctement la fiche",Securité,Securité
Securité > Profil,aucune action menées,Securité,M3
Securité > Profil,Le ticket a été ouvert en double; le premier sera pris en charge par la hotlin,Securité,Système
Securité > Profil,Mise à jour effectuée dans la table PRS_Service_Employe..,Securité,CRM
Securité > Profil,profil de l'utilisateur mis à jour.,Securité,Système
Securité > Profil,ras!,Securité,Infrastructure
Securité > Profil,RAS,Securité,Système
Securité > Profil,"Demande traitéern
 rn
Accès VPN donné à l'utilisateur",Securité,Système
Securité > Profil,Profil EGOLE01 ajoutée au groupe.,Securité,Postes
Securité > Profil,resolu,Securité,Securité
Securité > Profil,"RASrn
 rn
Doublon...Merci de patienter votre demande est en cours de traitement",Securité,Postes
Système > Serveur I,ras,Système,M3
Système > Serveur I,redémarrage sous système et redémarrage de la réplication,Système,Securité
Système > Serveur I,Serveur restauré,Système,Securité
Système > Serveur I,Redémarrage de la file et redémarrage de la réplication,Système,Securité
Système > Serveur I,serveur restauré,Système,Securité
Système > Serveur I,Serveurs restaurés,Système,M3
Système > Serveur I,serveur restauré,Système,M3
Système > Serveur I,serveur restauré,Système,M3
Système > Serveur I,Redémarrage serveur et application des màj WINDOWS,Système,Postes
Système > Serveur I,ras,Système,Securité
Système > Serveur I,Redémarrage serveur et application des màj WINDOWS,Système,M3
Système > Serveur X,info traitée,Système,Securité
Système > Serveur X,ras,Système,Postes
Système > Serveur X,RAS,Système,Postes
Système > Serveur X,RAS,Système,M3
Système > Serveur X,ras,Système,Securité
Système > Serveur X,Echecs Corrigés,Système,Securité
Système > Serveur X,A l'heure de l'execution le serveur qui a les sources de données étaient indisponible,Système,CRM
Système > Serveur X,Reintégration dans le Domaine,Système,Securité
Système > Serveur X,resolu,Système,Securité
Système > Serveur X,ras,Système,Workflows
Système > Serveur X,mise à jour,Système,Postes
Système > Serveur X,ras,Système,Securité
Système > Serveur X,Redémarrage serveur et application des màj WINDOWS,Système,Workflows
Système > Serveur X,"Ok pour le poste du DGrn
La configuration des autres postes sont encoursrn
Un incident sera ouvert pour chaque site",Système,Securité
Workflows > Achat,TRAITE,Workflows,Workflows
Workflows > Agreement fournisseur,RAS,Workflows,Workflows
Workflows > Assurance Automobile,DT validé par le demandeur lui même,Workflows,Workflows
Workflows > Cession,ok,Workflows,Postes
Workflows > Cession,RAS,Workflows,Workflows
Workflows > Cession,redemarrage du navigateur,Workflows,M3
Workflows > Cession,AFFECTATION EFFECTUE DANS WF CESSION,Workflows,M3
Workflows > Cession,resolu,Workflows,Workflows
Workflows > Cession,ajout dans le groupe AD,Workflows,Securité
Workflows > Cession,"Ouverture des workflows par Microsoft Edge, résolu.",Workflows,M3
Workflows > Cession,Incident traité par Mr NOUSIMMIUER,Workflows,Securité
Workflows > Cession,COMPTE CESSION CREE DANS WF CESSION,Workflows,M3
Workflows > Cession,VIDER LE CACHE DU NAVIGATEUR ET COCHER TOUS LES ID DE LA CESSION,Workflows,Workflows
Workflows > Cession,"RASrn
 rn
PARAMETRAGE EFFECTUE DANS WF CESSION",Workflows,Flotte
Workflows > Cession,Incident en traitement,Workflows,Workflows
Workflows > Cession,PROFIL PARAMETRE DANS WF CESSION,Workflows,Workflows
Workflows > Cession,Nous allons assiter l'utilisateur,Workflows,Securité
Workflows > Cession,MERCI DE SAISIR LE BON COMPTE CLIENT,Workflows,Securité
Workflows > Cession,CESSION PARAMETRE SUR WF CESSION,Workflows,Workflows
Workflows > Cession,Incident traité par le consultant Fonctionnel Commercial,Workflows,Workflows
Workflows > Cession,CORRECTION PARAMETRAGE EN OIS014,Workflows,Workflows
Workflows > Cession,PARAMETRAGE EFFECTUE POUR MR KAMENI,Workflows,Securité
Workflows > Cession,LE VALIDATEUR DU COMPTE EST MR MAMA,Workflows,Postes
Workflows > Cession,DROITS SUR LES WF CESSION PARAMETRES,Workflows,M3
Workflows > Cession,Problème de connexion internet suite coupure fibre Optique: recherche de solution côté Orange Cameroun encours,Workflows,M3
Workflows > Cession,PARAMETRAGE EFFECTUE DANS LE WF CESSION,Workflows,M3
Workflows > Cession,MERCI A CHAMBERLINE DE RESSAISIR LE WF,Workflows,M3
Workflows > Cession,DOCUMENT ENVOYE AU USER,Workflows,Workflows
Workflows > Cession,User assisté configuration OK,Workflows,Postes
Workflows > Cession,VALIDATEUR WF CESSION CORRIGE,Workflows,M3
Workflows > Cession,PARAMETRAGE DU WF CESSION DANS PRS_CESSION,Workflows,M3
Workflows > Cession,PRIX MIS A JOUR DANS WF CESSION,Workflows,CRM
Workflows > Congés,Merci de décaler la mise en congés,Workflows,Workflows
Workflows > Congés,Assistance faite,Workflows,Securité
Workflows > Congés,Initier la demande comme s'il elle appartenait à une autre personne,Workflows,M3
Workflows > Création article M3,Diagnostic à faire à la fin du séminaire,Workflows,M3
Workflows > Demande véhicule de pool,Merci de ne pas en tenir compte,Workflows,M3
Workflows > Engagement du personnel,Traité,Workflows,Securité
Workflows > Engagement du personnel,Validation Workflow effectuée par le DUS lorsque le réseau s'est stabilisé,Workflows,M3
Workflows > Facture,resolu,Workflows,M3
Workflows > Facture,Ouverture de la période comptable 2022 par le DF en GLS990,Workflows,Workflows
Workflows > Facture,votre demande a été traitée,Workflows,M3
Workflows > Facture,ok,Workflows,CRM
Workflows > Facture,"Merci de sélectionner la facture, puis la reinitialiser en cliquant sur le bouton reinitialiser et enfin valider",Workflows,CRM
Workflows > Facture,Droits retirés dans la table Prs_Remplacant_Validateur,Workflows,M3
Workflows > Facture,Réinitialisation de la facture faite,Workflows,Securité
Workflows > Facture,Merci d'extourner la facture et la ressaisir en utilisant le code 013003. (avec le . à la fin du numéro),Workflows,Securité
Workflows > Facture,Facture déjà validée,Workflows,M3
Workflows > Facture,Merci d'utiliser DRH10 comportant MOUTO01-MOLOU01 avec MOLOU01 ayant les droits de signature de 1MF,Workflows,Postes
Workflows > Facture,MERCI DE PROCEDER AUX SAISIES MANUELLES,Workflows,CRM
Workflows > Facture,Paramétrage effectué dans la table PRS_Remplacant_Validateur,Workflows,Postes
Workflows > Facture,rétrogradation de la facture effectuée par le chef d'exploitation,Workflows,Securité
Workflows > Facture,Facture 000 286 du fournisseur FL00024 réinitialisée,Workflows,M3
Workflows > Facture,ok,Workflows,Securité
Workflows > Facture,"SELECT * FROM M3FDBCM1.OINVOH WHERE
UHCONO = 100 AND
UHDIVI = 'P00' AND
UHYEA4 = 2022 AND
UHVONO = 0 AND
UHDUDT <= 20220129 AND
UHINST = 90;rn

UPDATE M3FDBCM1.OINVOH SET UHINST = 81 WHERE
UHCONO = 100 AND
UHDIVI = 'P00' AND
UHYEA4 = 2022 AND
UHVONO = 0 AND
UHDUDT <= 20220129 AND
UHINST = 90;",Workflows,M3
Workflows > Facture,Réinitialisation de la facture faite,Workflows,M3
Workflows > Facture,Je vous propose d’extourner ces 2 factures et les ressaisir à nouveau afin que le fournisseur soit le plus rapidement possible payé.,Workflows,M3
Workflows > Facture,Merci de renseigner le profil KAKMEN01 comme profil utilisateur,Workflows,M3
Workflows > Facture,"UPDATE M3FDBCM1.OINVOH SET UHINST = 81 WHERE
UHCONO = 100 AND
UHDIVI = 'P00' AND
UHYEA4 = 2021 AND
UHVONO = 0 AND
UHDUDT <= 20211231 AND
UHINST = 90;",Workflows,M3
Workflows > Facture,Kill de certains processus,Workflows,M3
Workflows > Facture,ok,Workflows,Postes
Workflows > Heures supplementaires,Modification des parametres d'affichage,Workflows,Postes
Workflows > Heures supplementaires,RAS,Workflows,Postes
Workflows > Heures supplementaires,assistance user pour la saisie correcte du service,Workflows,M3
Workflows > Heures supplementaires,RAS,Workflows,Workflows
Workflows > Heures supplementaires,Paramétrage effectué en table Prs_Service_Employé,Workflows,M3
Workflows > Heures supplementaires,Incident traité.Confirmation reçue de Berthe,Workflows,M3
Workflows > Heures supplementaires,orientation effectuée,Workflows,M3
Workflows > Heures supplementaires,"Sauf avis contraire de l’expert qui nous lit en copie, la semaine 1 débutant le 3 Janvier, il est impossible d’établir les HS aux dates du 1er et 2 janvier.rn",Workflows,Workflows
Workflows > Heures supplementaires,Paramétrage effectué dans la table PRS_Remplacant _Validateur,Workflows,Securité
Workflows > Heures supplementaires,Paramétrage effectué dans la table PRS_Service_Employé,Workflows,Workflows
Workflows > Missions,resolu,Workflows,Securité
Workflows > Missions,resolu,Workflows,M3
Workflows > Missions,ODM supprimée via elions,Workflows,M3
Workflows > Missions,Paramétrage fait au niveau du 150,Workflows,Postes
Workflows > Missions,"L'ordre de mission a été supprimérn
Merci de vérifier",Workflows,
Workflows > Missions,Merci de vous rapprocher de votre assistante pour achat du billet du Train,Workflows,
Workflows > Missions,Extraction effectuée via l'option Forms_Ordre_Mission2 dans Access,Workflows,
Workflows > Missions,Paramétrage effectué dans la table PRS_Direction_Secretaire,Workflows,
Workflows > Missions,"La mise à jour a été effectuée dans la liste SharePointrn
Merci de soumettre une nouvelle demande",Workflows,
Workflows > Missions,droits de remplacement de M. KAPING accordés à l'utilisateur.,Workflows,
Workflows > Missions,Application de la procédure de remplacement de MBALLA FOUE par MANDJO Jeannot dans les workflows.,Workflows,
Workflows > Missions,RAS,Workflows,
Workflows > Missions,Bien vouloir dimunuer le zoom du navigateur,Workflows,
Workflows > Missions,Le clôturer.,Workflows,
Securité > Profil,resolu,Securité,
